user-id,event-id,rating,tags_x,tags_y
3000,1580,,Film|Sports,Conference|Other
3029,1580,,Ministries|Sports|Family|Holiday,Conference|Other
3247,1580,,Hobbies|Tournament|Other|Holiday,Conference|Other
3451,1580,,Boat|Outdoor|Cause|History,Conference|Other
3461,1580,,Performance,Conference|Other
3000,1724,,Film|Sports,Class|Science|Tech
3112,1724,,Street|College|Law|Culture,Class|Science|Tech
3244,1724,,Air|Certificate|Community|Seminar,Class|Science|Tech
3000,2367,,Film|Sports,Performance|Art
3185,2367,,History|Spirituality|Social|Government,Performance|Art
3000,1763,,Film|Sports,Conference|Spirituality
3000,2350,,Film|Sports,Performance|Music
3066,2350,,Class|Finance|Charity,Performance|Music
3075,2350,,Tour|Sports|Law|Music,Performance|Music
3119,2350,,Seminar|Broadcast,Performance|Music
3236,2350,,Home|Conference|Screening|Business,Performance|Music
3001,1416,,Fashion|Gala|Praise,Gala|Charity|Cause
3348,1416,,Business,Gala|Charity|Cause
3001,2022,,Fashion|Gala|Praise,Class|Business
3162,2022,,Leadership|Appearance,Class|Business
3001,2347,,Fashion|Gala|Praise,Party|Other
3100,2347,,Product,Party|Other
3168,2347,,Law|Attraction|Fitness|Film,Party|Other
3481,2347,,Spring|Finance|Party|Broadcast,Party|Other
3487,2347,,Broadcast,Party|Other
3001,2096,,Fashion|Gala|Praise,Party|Other
3023,2096,,Other|Club,Party|Other
3088,2096,,Dinner|Auto|Night|Drink,Party|Other
3001,1754,,Fashion|Gala|Praise,Class
3003,1754,,Fashion|Health|Appearance,Class
3002,1092,,Race|Holiday|Law|Expo,Performance|Music
3396,1092,,Holiday|Class,Performance|Music
3473,1092,,Party,Performance|Music
3488,1092,,Spring|Spirituality,Performance|Music
3002,2283,,Race|Holiday|Law|Expo,Performance|Music
3218,2283,,Praise|Celebration|Retreat|Art,Performance|Music
3490,2283,,Charity|Government,Performance|Music
3002,2195,,Race|Holiday|Law|Expo,Conference|Family|Education
3014,2195,,Science|Game|Cause,Conference|Family|Education
3187,2195,,Night|Dinner|Conference,Conference|Family|Education
3002,1531,,Race|Holiday|Law|Expo,Party|Food|Drink
3336,1531,,Retreat,Party|Food|Drink
3002,1398,,Race|Holiday|Law|Expo,Seminar|Government
3230,1398,,Family,Seminar|Government
3316,1398,,Drink|Street|Home,Seminar|Government
3003,2382,,Fashion|Health|Appearance,Performance|Music
3003,2233,,Fashion|Health|Appearance,Festival|Film|Media
3307,2233,,Performance|Hobbies|Night,Festival|Film|Media
3426,2233,,Workshop|Education,Festival|Film|Media
3003,2453,,Fashion|Health|Appearance,Gala|Spirituality
3068,2453,,Tech|Business,Gala|Spirituality
3140,2453,,Rally|Lifestyle|Rally,Gala|Spirituality
3416,2453,,Tech,Gala|Spirituality
3434,2453,,Praise|Air,Gala|Spirituality
3003,1139,,Fashion|Health|Appearance,Conference|Business
3010,1139,,Tour|Gala,Conference|Business
3145,1139,,Family|Home|Broadcast,Conference|Business
3190,1139,,Music|Spirituality|Course|Family,Conference|Business
3321,1139,,Convention|Finance,Conference|Business
3423,1139,,Charity,Conference|Business
3469,1139,,Fashion|Charity,Conference|Business
3004,2183,,Game|Home|Rally,Gala|Charity|Cause
3021,2183,,Other|Screening,Gala|Charity|Cause
3222,2183,,Travel|Education|Media,Gala|Charity|Cause
3004,1444,,Game|Home|Rally,Performance|Music
3191,1444,,Class|Travel,Performance|Music
3196,1444,,Lifestyle,Performance|Music
3004,1900,,Game|Home|Rally,Party|Other
3426,1900,,Workshop|Education,Party|Other
3004,2505,,Game|Home|Rally,Class|Health
3071,2505,,Park|Church|Course|Music,Class|Health
3123,2505,,Government|Street,Class|Health
3218,2505,,Praise|Celebration|Retreat|Art,Class|Health
3252,2505,,Conference,Class|Health
3004,1615,,Game|Home|Rally,Class|Health
3005,2503,,Course,Film|Media
3313,2503,,Broadcast|Education|Course,Film|Media
3341,2503,,Family|Tour|Networking,Film|Media
3493,2503,,Party|Dinner|Celebration|Course,Film|Media
3498,2503,,Art,Film|Media
3005,1803,,Course,Festival|Community
3031,1803,,Ministries,Festival|Community
3308,1803,,Seminar|Leadership|Night|Game,Festival|Community
3428,1803,,Certificate|Social,Festival|Community
3005,1284,,Course,Performance|Charity|Cause
3005,1134,,Course,Networking|Business
3076,1134,,Church|Boat|Leadership|Law,Networking|Business
3005,1067,,Course,Art
3238,1067,,Workshop|Retreat,Art
3255,1067,,Holiday|Street,Art
3006,2252,,Rally|Networking|Music|Spirituality,Film|Media
3024,2252,,Celebration|Spirituality|Course,Film|Media
3245,2252,,Convention,Film|Media
3322,2252,,Conference|Community|Game|Park,Film|Media
3006,1387,,Rally|Networking|Music|Spirituality,Party|Music
3087,1387,,Adventure|Holiday|Celebration,Party|Music
3006,2438,,Rally|Networking|Music|Spirituality,Party|Auto|Boat|Air
3259,2438,,Dinner|Appearance|Ministries,Party|Auto|Boat|Air
3333,2438,,Workshop|Auto,Party|Auto|Boat|Air
3438,2438,,Performance,Party|Auto|Boat|Air
3446,2438,,Drink,Party|Auto|Boat|Air
3006,1245,,Rally|Networking|Music|Spirituality,Seminar|Art
3006,2099,,Rally|Networking|Music|Spirituality,Performance|Music
3007,2281,,Art|Screening|Conference|Church,Performance|
3007,2476,,Art|Screening|Conference|Church,Screening|Film|Media
3012,2476,,Fashion|Leadership|Social,Screening|Film|Media
3242,2476,,Food|College|Drink|History,Screening|Film|Media
3293,2476,,Dinner|Machine|Workshop,Screening|Film|Media
3430,2476,,Networking,Screening|Film|Media
3460,2476,,Spirituality|Science|Government,Screening|Film|Media
3007,2267,,Art|Screening|Conference|Church,Class|Business
3027,2267,,Film|History|Convention|Health,Class|Business
3007,2143,,Art|Screening|Conference|Church,Conference|Health
3007,1298,,Art|Screening|Conference|Church,Conference|Government
3408,1298,,Party,Conference|Government
3008,1507,,Food|Film|Product,Party|Food|Drink
3243,1507,,Education|Appearance,Party|Food|Drink
3324,1507,,Boat|Night,Party|Food|Drink
3337,1507,,Class|Other|Finance|Ministries,Party|Food|Drink
3429,1507,,College|Boat|Broadcast,Party|Food|Drink
3008,1936,,Food|Film|Product,Performance|Music
3008,1505,,Food|Film|Product,Screening|Film|Media
3096,1505,,Social|Machine,Screening|Film|Media
3391,1505,,Screening,Screening|Film|Media
3008,1972,,Food|Film|Product,Conference
3058,1972,,Charity|Ministries|Hobbies,Conference
3458,1972,,Finance,Conference
3008,2486,,Food|Film|Product,Networking|Community
3434,2486,,Praise|Air,Networking|Community
