web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554596889-810	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=22	Bow Ball 2019Bow Ball 2019	https://www.eventbrite.com/e/bow-ball-2019-tickets-58186316840?aff=ebdssbdestsearch	Bow Ball 2019	"Fri, April 26, 2019"	7:00 PM – 10:00 PM EDT	"Atlanta, GA 30310"	$60 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
1554596724-716	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=39	CMTA: Veteran Suicide & PTSD TrainingCMTA: Veteran Suicide & PTSD Training	https://www.eventbrite.com/e/cmta-veteran-suicide-ptsd-training-tickets-59420790183?aff=ebdssbdestsearch	CMTA: Veteran Suicide & PTSD Training	"Thu, April 18, 2019"	9:00 AM – 12:00 PM EDT	United States	Donation	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Class""}]"							
1554596803-756	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=32	Word is Born - Spoken Word Poetry Open Mic - 2nd Sundays Hosted By Od OdellWord is Born - Spoken Word Poetry Open Mic - 2nd Sundays Hosted By Od Odell	https://www.eventbrite.com/e/word-is-born-spoken-word-poetry-open-mic-2nd-sundays-hosted-by-od-odell-tickets-54379723216?aff=ebdssbdestsearch	Word is Born - Spoken Word Poetry Open Mic - 2nd Sundays Hosted By Od Odell	"Sun, April 14, 2019"	7:00 PM – 10:00 PM EDT	United States	$10 – $25	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Performance""},{""tags"":""Arts""}]"							
1554596699-700	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=42	Supporting Your Student Through The College ProcessSupporting Your Student Through The College Process	https://www.eventbrite.com/e/supporting-your-student-through-the-college-process-tickets-58617223694?aff=ebdssbdestsearch	Supporting Your Student Through The College Process	"Sat, May 4, 2019"	7:00 PM – 8:30 PM EDT	"View Map
									View Map"	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Class""},{""tags"":""Family & Education""}]"							
1554596964-853	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=13	The Optimist Crawfish Boil The Optimist Crawfish Boil	https://www.eventbrite.com/e/the-optimist-crawfish-boil-tickets-58992709783?aff=ebdssbdestsearch	The Optimist Crawfish Boil	"Sun, April 14, 2019"	2:00 PM – 5:00 PM EDT	"View Map
									View Map"	$45 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
1554596668-676	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=46	A LAVISH FALL ADULT PROM A LAVISH FALL ADULT PROM	https://www.eventbrite.com/e/a-lavish-fall-adult-prom-tickets-56523734010?aff=ebdssbdestsearch	A LAVISH FALL ADULT PROM	"Sat, Sep 21, 2019, 7:00 PM –"	"Sun, Sep 22, 2019, 12:00 AM EDT"	"View Map
									View Map"	$82.50 – $85	"[{""tags"":""Things to do in Atlanta""},{""tags"":""Party""}]"							
1554596973-856	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=12	ATL’s # 1 Sunday Day Party @ Eleven45 ATL’s # 1 Sunday Day Party @ Eleven45	https://www.eventbrite.com/e/atls-1-sunday-day-party-eleven45-tickets-49362312004?aff=ebdssbdestsearch	ATL’s # 1 Sunday Day Party @ Eleven45	"Sun, April 7, 2019"	3:00 PM – 10:00 PM EDT	2110 Peachtree Road Northwest	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Party""}]"							
1554596880-805	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=23	Friday Comedy @ Oak LoungeFriday Comedy @ Oak Lounge	https://www.eventbrite.com/e/friday-comedy-oak-lounge-tickets-54452388560?aff=ebdssbdestsearch	Friday Comedy @ Oak Lounge	"Fri, Apr 5, 2019, 10:00 PM –"	"Sat, Apr 6, 2019, 12:00 AM EDT"	404-720-5151	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Attraction""},{""tags"":""Music""}]"							
1554596889-811	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=22	Bow Ball 2019Bow Ball 2019	https://www.eventbrite.com/e/bow-ball-2019-tickets-58186316840?aff=ebdssbdestsearch	Bow Ball 2019	"Fri, April 26, 2019"	7:00 PM – 10:00 PM EDT	United States	$60 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
1554596938-836	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=16	Encore! Drinks and Disney - Adults OnlyEncore! Drinks and Disney - Adults Only	https://www.eventbrite.com/e/encore-drinks-and-disney-adults-only-tickets-59394510580?aff=ebdssbdestsearch	Encore! Drinks and Disney - Adults Only	"Sat, April 6, 2019"	8:30 PM – 10:00 PM EDT	United States	$20 	"[{""tags"":""Things to do in Decatur, GA""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554596685-688	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=44	From Brokenness To Beauty!From Brokenness To Beauty!	https://www.eventbrite.com/e/from-brokenness-to-beauty-tickets-59044281034?aff=ebdssbdestsearch	From Brokenness To Beauty!	"Fri, Apr 12, 2019, 6:00 PM –"	"Sun, Apr 14, 2019, 10:00 AM EDT"	United States	$20 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Spirituality""}]"							
1554596930-828	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=17	Fuse 19 - ExponentialFuse 19 - Exponential	https://www.eventbrite.com/e/fuse-19-exponential-tickets-51457010303?aff=ebdssbdestsearch	Fuse 19 - Exponential	"Wed, Jun 5, 2019, 5:00 PM –"	"Fri, Jun 7, 2019, 5:00 PM EDT"	510 Mount Vernon Highway Northeast	$175 – $895	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Business""}]"							
1554596957-848	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=14	"FaithTalk Atlanta & 104.7 The FISH present ""The 2019 Women in Ministry Event""FaithTalk Atlanta & 104.7 The FISH present ""The 2019 Women in Ministry Even..."	https://www.eventbrite.com/e/faithtalk-atlanta-1047-the-fish-present-the-2019-women-in-ministry-event-tickets-54728196509?aff=ebdssbdestsearch	"FaithTalk Atlanta & 104.7 The FISH present ""The 2019 Women in Ministry Even..."	"Tue, May 21, 2019"	10:00 AM – 1:00 PM EDT	"View Map
									View Map"	$10 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Seminar""},{""tags"":""Spirituality""}]"							
1554597058-898	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=2	3rd Annual Taco & Tequila Crawl: ATL3rd Annual Taco & Tequila Crawl: ATL	https://www.eventbrite.com/e/3rd-annual-taco-tequila-crawl-atl-tickets-54247720392?aff=ebdssbdestsearch	3rd Annual Taco & Tequila Crawl: ATL	"Sat, June 22, 2019"	12:00 PM – 6:00 PM EDT	Midtown	$20 – $40	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"							
1554596649-659	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=48	Future of UX Innovation Series presented by Nebo Future of UX Innovation Series presented by Nebo	https://www.eventbrite.com/e/future-of-ux-innovation-series-presented-by-nebo-tickets-59123739697?aff=ebdssbdestsearch	Future of UX Innovation Series presented by Nebo	"Wed, April 24, 2019"	6:00 PM – 8:30 PM EDT	1000 Marietta St. NW	$40 – $50	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Networking""},{""tags"":""Business""}]"							
1554596649-660	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=48	Future of UX Innovation Series presented by Nebo Future of UX Innovation Series presented by Nebo	https://www.eventbrite.com/e/future-of-ux-innovation-series-presented-by-nebo-tickets-59123739697?aff=ebdssbdestsearch	Future of UX Innovation Series presented by Nebo	"Wed, April 24, 2019"	6:00 PM – 8:30 PM EDT	Suite 270	$40 – $50	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Networking""},{""tags"":""Business""}]"							
1554596754-733	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=36	2019 Sisters of the Soil Symposium2019 Sisters of the Soil Symposium	https://www.eventbrite.com/e/2019-sisters-of-the-soil-symposium-tickets-54752806117?aff=ebdssbdestsearch	2019 Sisters of the Soil Symposium	"Sat, April 27, 2019"	9:00 AM – 2:00 PM EDT	United States	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Health""}]"							
1554597058-899	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=2	3rd Annual Taco & Tequila Crawl: ATL3rd Annual Taco & Tequila Crawl: ATL	https://www.eventbrite.com/e/3rd-annual-taco-tequila-crawl-atl-tickets-54247720392?aff=ebdssbdestsearch	3rd Annual Taco & Tequila Crawl: ATL	"Sat, June 22, 2019"	12:00 PM – 6:00 PM EDT	Several Check-in Locations	$20 – $40	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"							
1554596915-820	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=19	SouthEast Crab Feast - Atlanta (GA)SouthEast Crab Feast - Atlanta (GA)	https://www.eventbrite.com/e/southeast-crab-feast-atlanta-ga-tickets-58341996482?aff=ebdssbdestsearch	null	null	null		null	[]							
1554596906-818	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=20	The Path to Becoming A Billion Dollar A Year Firm - ATLANTAThe Path to Becoming A Billion Dollar A Year Firm - ATLANTA	https://www.eventbrite.com/e/the-path-to-becoming-a-billion-dollar-a-year-firm-atlanta-tickets-56504654944?aff=ebdssbdestsearch	The Path to Becoming A Billion Dollar A Year Firm - ATLANTA	"Tue, April 30, 2019"	1:00 PM – 5:00 PM EDT	United States	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Business""}]"							
1554596767-738	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=35	Black Girl Magic Indie Film Producer BootcampBlack Girl Magic Indie Film Producer Bootcamp	https://www.eventbrite.com/e/black-girl-magic-indie-film-producer-bootcamp-registration-57445438854?aff=ebdssbdestsearch	Black Girl Magic Indie Film Producer Bootcamp	"Sat, April 13, 2019"	12:00 PM – 3:00 PM EDT	United States	$25 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Class""},{""tags"":""Film & Media""}]"							
1554597032-886	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=5	The 2019 Prowl & Growl - ATLANTAThe 2019 Prowl & Growl - ATLANTA	https://www.eventbrite.com/e/the-2019-prowl-growl-atlanta-tickets-57409493340?aff=ebdssbdestsearch	The 2019 Prowl & Growl - ATLANTA	"Tue, April 9, 2019"	5:30 PM – 8:30 PM EDT	2500 Clairmont Road	$0 – $50	"[{""tags"":""Things to do in Atlanta, GA""}]"							
1554596990-871	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=10	8th Annual Gala: #ANightofFashion8th Annual Gala: #ANightofFashion	https://www.eventbrite.com/e/8th-annual-gala-anightoffashion-tickets-42660392382?aff=ebdssbdestsearch	8th Annual Gala: #ANightofFashion	"Sun, April 28, 2019"	6:00 PM – 9:00 PM EDT	"View Map
									View Map"	"$0 – $10,000"	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Gala""},{""tags"":""Fashion""}]"							
1554596823-769	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=30	ATL Tech Gives Back April 2019ATL Tech Gives Back April 2019	https://www.eventbrite.com/e/atl-tech-gives-back-april-2019-tickets-58791409689?aff=ebdssbdestsearch	ATL Tech Gives Back April 2019	"Thu, April 11, 2019"	1:00 PM – 4:00 PM EDT	Refunds up to 1 day before event	$12 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Charity & Causes""}]"							
1554597049-892	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=3	Radical Women's 2020 Conference (Worth Conference)Radical Women's 2020 Conference (Worth Conference)	https://www.eventbrite.com/e/radical-womens-2020-conference-worth-conference-tickets-58874371831?aff=ebdssbdestsearch	Radical Women's 2020 Conference (Worth Conference)	"Thu, Mar 19, 2020, 10:00 AM –"	"Sat, Mar 21, 2020, 4:00 PM EDT"	World Changers Church Int'l	$20 – $200	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Spirituality""}]"							
1554596964-851	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=13	The Optimist Crawfish Boil The Optimist Crawfish Boil	https://www.eventbrite.com/e/the-optimist-crawfish-boil-tickets-58992709783?aff=ebdssbdestsearch	The Optimist Crawfish Boil	"Sun, April 14, 2019"	2:00 PM – 5:00 PM EDT	"Atlanta, GA 30318"	$45 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
1554596813-761	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=31	Private Label: Erick Morillo - Ravine AtlantaPrivate Label: Erick Morillo - Ravine Atlanta	https://www.eventbrite.com/e/private-label-erick-morillo-ravine-atlanta-tickets-58324150103?aff=ebdssbdestsearch	Private Label: Erick Morillo - Ravine Atlanta	"Sat, May 4, 2019, 10:00 PM –"	"Sun, May 5, 2019, 3:00 AM EDT"	"Atlanta, GA 30309"	$15 – $75	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554596754-732	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=36	2019 Sisters of the Soil Symposium2019 Sisters of the Soil Symposium	https://www.eventbrite.com/e/2019-sisters-of-the-soil-symposium-tickets-54752806117?aff=ebdssbdestsearch	2019 Sisters of the Soil Symposium	"Sat, April 27, 2019"	9:00 AM – 2:00 PM EDT	"Atlanta, GA 30314"	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Health""}]"							
1554596743-726	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=37	2019 Leadercast South Fulton One-Day Conference  (Kick-off to Leadership South Fulton)2019 Leadercast South Fulton One-Day Conference  (Kick-off to Leadership So...	https://www.eventbrite.com/e/2019-leadercast-south-fulton-one-day-conference-kick-off-to-leadership-south-fulton-tickets-51207747752?aff=ebdssbdestsearch	2019 Leadercast South Fulton One-Day Conference  (Kick-off to Leadership So...	"Fri, June 7, 2019"	9:00 AM – 4:00 PM EDT	2081 Convention Center Concourse	$140 – $600	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Business""}]"							
1554596767-735	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=35	Black Girl Magic Indie Film Producer BootcampBlack Girl Magic Indie Film Producer Bootcamp	https://www.eventbrite.com/e/black-girl-magic-indie-film-producer-bootcamp-registration-57445438854?aff=ebdssbdestsearch	Black Girl Magic Indie Film Producer Bootcamp	"Sat, April 13, 2019"	12:00 PM – 3:00 PM EDT	1040 Marietta St NW	$25 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Class""},{""tags"":""Film & Media""}]"							
1554596973-859	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=12	ATL’s # 1 Sunday Day Party @ Eleven45 ATL’s # 1 Sunday Day Party @ Eleven45	https://www.eventbrite.com/e/atls-1-sunday-day-party-eleven45-tickets-49362312004?aff=ebdssbdestsearch	ATL’s # 1 Sunday Day Party @ Eleven45	"Sun, April 7, 2019"	3:00 PM – 10:00 PM EDT	"View Map
									View Map"	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Party""}]"							
1554596856-792	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=26	Randall BramblettRandall Bramblett	https://www.eventbrite.com/e/randall-bramblett-tickets-59549411894?aff=ebdssbdestsearch	Randall Bramblett	"Sat, June 8, 2019"	8:00 PM – 11:00 PM EDT	"View Map
									View Map"	$22 	"[{""tags"":""Things to do in Sandy Springs, GA""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554596833-770	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=29	420 Shop and Paint420 Shop and Paint	https://www.eventbrite.com/e/420-shop-and-paint-tickets-58830556779?aff=ebdssbdestsearch	420 Shop and Paint	"Sat, Apr 20, 2019, 7:00 PM –"	"Sun, Apr 21, 2019, 12:00 AM EDT"	The M4X Collective	$0 – $100	"[{""tags"":""Things to do in Forest Park, GA""}]"							
1554596803-757	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=32	Word is Born - Spoken Word Poetry Open Mic - 2nd Sundays Hosted By Od OdellWord is Born - Spoken Word Poetry Open Mic - 2nd Sundays Hosted By Od Odell	https://www.eventbrite.com/e/word-is-born-spoken-word-poetry-open-mic-2nd-sundays-hosted-by-od-odell-tickets-54379723216?aff=ebdssbdestsearch	Word is Born - Spoken Word Poetry Open Mic - 2nd Sundays Hosted By Od Odell	"Sun, April 14, 2019"	7:00 PM – 10:00 PM EDT	"View Map
									View Map"	$10 – $25	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Performance""},{""tags"":""Arts""}]"							
1554596716-710	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=40	Uptown Comedy Club ThursdaysUptown Comedy Club Thursdays	https://www.eventbrite.com/e/uptown-comedy-club-thursdays-tickets-54264112421?aff=ebdssbdestsearch	Uptown Comedy Club Thursdays	"Thu, April 11, 2019"	8:00 PM – 10:30 PM EDT	"Hapeville, GA 30354"	Free	"[{""tags"":""Things to do in Hapeville, GA""},{""tags"":""Performance""},{""tags"":""Film & Media""}]"							
1554596659-669	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=47	ATL's Comics Unleashed 2019ATL's Comics Unleashed 2019	https://www.eventbrite.com/e/atls-comics-unleashed-2019-tickets-54170085183?aff=ebdssbdestsearch	ATL's Comics Unleashed 2019	"Sat, April 6, 2019"	9:00 PM – 11:00 PM EDT	United States	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Performance""},{""tags"":""Film & Media""}]"							
1554596957-845	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=14	"FaithTalk Atlanta & 104.7 The FISH present ""The 2019 Women in Ministry Event""FaithTalk Atlanta & 104.7 The FISH present ""The 2019 Women in Ministry Even..."	https://www.eventbrite.com/e/faithtalk-atlanta-1047-the-fish-present-the-2019-women-in-ministry-event-tickets-54728196509?aff=ebdssbdestsearch	"FaithTalk Atlanta & 104.7 The FISH present ""The 2019 Women in Ministry Even..."	"Tue, May 21, 2019"	10:00 AM – 1:00 PM EDT	4355 Ashford Dunwoody Road	$10 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Seminar""},{""tags"":""Spirituality""}]"							
1554596990-869	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=10	8th Annual Gala: #ANightofFashion8th Annual Gala: #ANightofFashion	https://www.eventbrite.com/e/8th-annual-gala-anightoffashion-tickets-42660392382?aff=ebdssbdestsearch	8th Annual Gala: #ANightofFashion	"Sun, April 28, 2019"	6:00 PM – 9:00 PM EDT	"Atlanta, GA 30313"	"$0 – $10,000"	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Gala""},{""tags"":""Fashion""}]"							
1554596685-685	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=44	From Brokenness To Beauty!From Brokenness To Beauty!	https://www.eventbrite.com/e/from-brokenness-to-beauty-tickets-59044281034?aff=ebdssbdestsearch	From Brokenness To Beauty!	"Fri, Apr 12, 2019, 6:00 PM –"	"Sun, Apr 14, 2019, 10:00 AM EDT"	Bibe Way Ministries International	$20 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Spirituality""}]"							
1554596906-815	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=20	The Path to Becoming A Billion Dollar A Year Firm - ATLANTAThe Path to Becoming A Billion Dollar A Year Firm - ATLANTA	https://www.eventbrite.com/e/the-path-to-becoming-a-billion-dollar-a-year-firm-atlanta-tickets-56504654944?aff=ebdssbdestsearch	The Path to Becoming A Billion Dollar A Year Firm - ATLANTA	"Tue, April 30, 2019"	1:00 PM – 5:00 PM EDT	W Atlanta – Downtown	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Business""}]"							
1554596856-790	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=26	Randall BramblettRandall Bramblett	https://www.eventbrite.com/e/randall-bramblett-tickets-59549411894?aff=ebdssbdestsearch	Randall Bramblett	"Sat, June 8, 2019"	8:00 PM – 11:00 PM EDT	"Sandy Springs, GA 30342"	$22 	"[{""tags"":""Things to do in Sandy Springs, GA""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554596906-817	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=20	The Path to Becoming A Billion Dollar A Year Firm - ATLANTAThe Path to Becoming A Billion Dollar A Year Firm - ATLANTA	https://www.eventbrite.com/e/the-path-to-becoming-a-billion-dollar-a-year-firm-atlanta-tickets-56504654944?aff=ebdssbdestsearch	The Path to Becoming A Billion Dollar A Year Firm - ATLANTA	"Tue, April 30, 2019"	1:00 PM – 5:00 PM EDT	"Atlanta, GA 30308"	Free	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Business""}]"							
1554597007-877	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=8	SUITE LIFE FRIDAYS Hosted by  Big Tigger SUITE LIFE FRIDAYS Hosted by  Big Tigger	https://www.eventbrite.com/e/suite-life-fridays-hosted-by-big-tigger-tickets-59674287400?aff=ebdssbdestsearch	null	null	null		null	[]							
